date,product_id,warehouse,opening_stock,sales,returns,adjustments,closing_stock
2024-02-01,PROD-001,CDMX-MAIN,148,1,0,0,147
2024-02-15,PROD-001,CDMX-MAIN,147,0,0,-20,127
2024-02-01,PROD-006,CDMX-MAIN,120,0,0,0,120
2024-02-01,PROD-007,CDMX-MAIN,300,0,0,0,300
2024-02-01,PROD-008,CDMX-MAIN,35,0,0,0,35
01/02/2024,PROD-008,CDMX-MAIN,35,10,0,0,25
2024-02-02,PROD-008,CDMX-MAIN,25,2,0,0,23
2024-02-01,PROD-009,CDMX-MAIN,20,0,0,0,20
2024-02-02,PROD-009,CDMX-MAIN,20,1,0,0,19
05/02/2024,PROD-009,CDMX-MAIN,19,5,0,0,14
2024-02-01,PROD-010,CDMX-MAIN,200,0,0,0,200
2024-02-03,PROD-010,CDMX-MAIN,200,4,0,0,196
2024-02-01,PROD-011,CDMX-MAIN,350,0,0,0,350
2024-02-06,PROD-011,CDMX-MAIN,350,6,0,0,344
10/02/2024,PROD-011,CDMX-MAIN,344,0,0,50,394

